Subject,Age,Gender-categorical,Gender-free-response,Ethnicity,Race,Language,Fluency,Comprehension,Errors,Difficulty,Fun,Clarity,Strategy,Feedback
48ne807kl3uo97vu0imier5e.,61,Female,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,5,5,eventually stayed with the higher starters,
7aoyy6q71yj3mu74fqficwof.,23,Female,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,5,4,I visually remembered things,Fun survey!
7mpqttxqgvu5x3fm5zm0y6lc.,27,Male,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,4,5,No.  I'm pretty good at figuring out basic averages in my head so I just did that.,
7ppl5q9eu2v8nhrr8ikx8152.,32,Female,,Not Hispanic or Latino,['Asian'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,4,5,no,
adlyt76a3fw6ngu2mwkd4zsr.,31,Female,,Hispanic or Latino,['American Indian/Alaska Native'],Yes,Very well,"['true', 'false', 'true', 'true']",1,4,4,5,yes i did,the task is somewhat fun
bzgw3frd0vgls317fymy3ige.,27,Male,,Not Hispanic or Latino,['Asian'],Yes,Well,"['true', 'false', 'false', 'true']",0,5,2,5,I tried to take the average of both sides before choosing one side to focus on.,
dpgdzrhdb65xbi6ltx5d01ls.,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,4,4,5,only to try and make a decision as quick as possible to avoid choosing weak blocks.,not really
felj40lxi9bxeoxehu14sbpa.,28,Female,,Not Hispanic or Latino,"['Black or African American', 'White']",Yes,Very well,"['true', 'false', 'false', 'true']",0,3,4,5,"No writing, tried to keep average scores mentally",
kkulj4iviohptusmd7atz906.,22,Female,,Not Hispanic or Latino,['Asian'],Yes,Very well,"['true', 'false', 'false', 'true']",0,4,4,5,try to have same number of known and unknown numbers for the two slots,none
mk2z4b2z268ke44xtksjwj3c.,21,Male,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'true', 'true']",1,4,5,5,,
pso1gs6kshtxcp4yfjd0qwcd.,24,Male,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,5,5,Just did a rough average of each side when choosing the next one,
r3imzrxg2ilwfocf4rx6m0oe.,41,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,4,5,No.,
tikr1yal3uggjw56dijx03ug.,42,Male,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'true', 'true']",1,4,5,5,N/A,N/A
unee4syb66kea2qrq3cyzutu.,33,Female,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,4,5,no,no
uw0ktvb1c71d2t07jnn0er1k.,18,Male,,Not Hispanic or Latino,['Asian'],No,Very well,"['true', 'false', 'false', 'true']",0,5,5,5,,
vrlyhk3fu3la4hanh630zhly.,41,Male,,Rather not say,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,4,4,5,No,No.but best of luck with your study
xav7sc25lq7v80o3h4zhvh8k.,25,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,"['true', 'false', 'false', 'true']",0,5,5,5,Tried to look at which one's had bigger values before making my choice,
zfpp3528qwhvw59ddpw991ec.,21,Female,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,3,4,5,"no, just tried to calculate means in my head",
zrkxv3r6j5wew6unm393iwab.,55,Male,,Not Hispanic or Latino,['White'],Yes,Very well,"['true', 'false', 'false', 'true']",0,4,5,5,just tries to get a sense of which side paid better and ran with it,none
