Subject,pswq-rt,pswq-radio,pswq-key,pswq-mouse,pswq-ipi,pswq-q01,pswq-q02,pswq-q03,pswq-q04,pswq-q05,pswq-q06,pswq-q07,pswq-q08,pswq-q09,pswq-q10,pswq-q11,pswq-q12,pswq-q13,pswq-q14,pswq-q15,pswq-q16,pswq-q17,ius12-rt,ius12-radio,ius12-key,ius12-mouse,ius12-ipi,ius12-q01,ius12-q02,ius12-q03,ius12-q04,ius12-q05,ius12-q06,ius12-q07,ius12-q08,ius12-q09,ius12-q10,ius12-q11,ius12-q12,ius12-q13
48ne807kl3uo97vu0imier5e.,123.949,18,0,20,6.039,1,0,3,2,2,3,2,3,1,3,2,3,3,2,2,3,0,99.163,15,0,17,5.443,1,3,1,3,1,0,1,2,1,0,3,0,4
7aoyy6q71yj3mu74fqficwof.,65.464,17,0,18,2.908,4,1,2,1,2,2,1,3,3,3,2,2,3,2,1,3,0,61.128,13,0,15,3.706,2,3,1,3,2,1,2,3,1,1,3,1,4
7mpqttxqgvu5x3fm5zm0y6lc.,50.44,17,0,19,2.529,3,1,2,1,2,2,2,2,1,4,2,1,2,1,2,2,0,45.621,15,0,20,2.814,2,2,2,3,1,2,1,2,2,1,2,0,4
7ppl5q9eu2v8nhrr8ikx8152.,50.458,17,0,25,2.705,3,1,2,2,2,3,2,1,2,3,2,2,2,1,1,3,0,36.988,13,0,16,2.141,1,3,1,4,1,1,1,3,2,1,2,0,4
adlyt76a3fw6ngu2mwkd4zsr.,178.929,22,5,19,6.595,4,1,3,1,2,3,2,3,2,3,1,0,2,2,0,4,1,256.789,20,5,19,6.796,2,1,2,2,2,0,3,3,2,1,2,3,4
bzgw3frd0vgls317fymy3ige.,68.856,20,0,49,2.141,3,2,2,2,1,2,1,2,2,2,3,1,2,1,1,1,0,49.965,14,0,39,2.643,2,3,2,2,2,2,3,3,1,3,2,2,4
dpgdzrhdb65xbi6ltx5d01ls.,77.196,18,0,19,4.022,2,1,2,1,1,1,1,2,2,3,2,2,2,1,1,2,0,80.997,13,0,15,5.497,0,2,0,1,1,0,1,0,1,0,1,0,4
felj40lxi9bxeoxehu14sbpa.,52.572,18,0,22,2.46,3,2,4,2,3,3,2,3,2,4,3,3,3,3,2,3,0,40.164,13,0,20,2.355,3,2,2,2,2,2,2,3,3,2,3,2,4
kkulj4iviohptusmd7atz906.,83.247,19,0,21,3.268,2,3,4,2,1,3,2,3,1,4,3,1,3,2,3,3,0,89.105,15,0,21,4.726,2,3,1,2,0,1,1,2,0,2,1,2,4
mk2z4b2z268ke44xtksjwj3c.,37.216,17,0,25,1.752,2,2,3,3,3,3,2,3,3,3,2,3,3,2,2,3,0,20.914,13,0,27,1.352,2,3,4,4,3,3,3,2,2,3,4,3,4
pso1gs6kshtxcp4yfjd0qwcd.,98.616,17,0,25,4.745,2,0,0,1,1,0,0,2,2,1,0,0,2,0,0,1,0,60.415,14,0,18,3.821,0,0,0,0,0,1,3,2,0,0,1,0,4
r3imzrxg2ilwfocf4rx6m0oe.,74.901,19,22,0,3.556,3,2,4,2,2,2,3,3,2,4,2,4,3,2,3,3,0,70.702,18,21,0,3.509,1,3,1,2,1,1,1,1,2,1,2,1,4
tikr1yal3uggjw56dijx03ug.,173.737,17,0,25,5.199,3,0,2,3,2,3,0,2,0,3,2,0,2,0,1,2,0,162.66,15,0,26,2.304,0,0,0,1,0,1,1,0,0,1,1,0,4
unee4syb66kea2qrq3cyzutu.,45.543,17,0,29,1.948,3,1,3,2,2,3,2,2,3,4,3,2,1,2,1,3,0,28.699,13,0,18,1.952,3,3,0,1,1,0,3,3,0,0,2,1,4
uw0ktvb1c71d2t07jnn0er1k.,73.315,17,0,29,4.148,2,2,4,1,2,1,2,2,4,3,1,0,3,2,2,1,0,54.421,14,0,21,2.906,1,1,2,3,3,0,1,2,0,1,1,2,4
vrlyhk3fu3la4hanh630zhly.,95.751,17,0,30,4.56,2,1,2,3,3,2,3,2,2,2,2,1,1,1,3,1,1,48.221,13,0,14,2.308,2,2,2,2,2,2,2,1,2,3,2,2,2
xav7sc25lq7v80o3h4zhvh8k.,50.4,23,0,35,1.786,3,0,3,1,0,2,1,1,1,1,2,0,1,0,0,2,0,38.704,17,0,27,1.597,1,4,0,3,2,0,0,3,1,0,4,1,4
zfpp3528qwhvw59ddpw991ec.,44.241,19,0,26,1.824,3,3,4,3,3,3,2,3,3,4,1,3,2,2,2,3,0,35.755,14,0,18,2.133,1,3,2,3,1,3,2,2,1,1,4,1,4
zrkxv3r6j5wew6unm393iwab.,51.808,17,0,22,2.324,1,0,1,1,0,1,1,1,0,2,2,0,1,0,1,1,0,38.72,13,0,14,2.895,2,2,1,3,2,1,1,2,2,1,3,1,4
